variant,bs,dx,dy,n,k,kernel_name,kernel_name_full,total_time_ms,avg_time_ms,instances,time_percent
TurboFNO_1D_A,32,128,128,64,16,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",1.901074,0.3168457,6,47.9
TurboFNO_1D_A,32,128,128,64,16,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",1.557047,0.2595078,6,39.2
TurboFNO_1D_A,32,128,128,64,16,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",0.510907,0.0851512,6,12.9
TurboFNO_1D_A,32,128,128,64,32,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",2.486223,0.4143705,6,46.7
TurboFNO_1D_A,32,128,128,64,32,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",1.895379,0.3158965,6,35.6
TurboFNO_1D_A,32,128,128,64,32,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",0.944313,0.1573855,6,17.7
TurboFNO_1D_A,32,128,128,64,64,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",4.501406,0.7502343,6,54.8
TurboFNO_1D_A,32,128,128,64,64,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",1.887411,0.3145685,6,23.0
TurboFNO_1D_A,32,128,128,64,64,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",1.818386,0.3030643,6,22.2
TurboFNO_1D_A,32,128,128,64,128,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",8.612674,1.4354457,6,61.5
TurboFNO_1D_A,32,128,128,64,128,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",3.519943,0.5866572,6,25.1
TurboFNO_1D_A,32,128,128,64,128,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",1.878065,0.3130108,6,13.4
TurboFNO_1D_A,32,128,128,64,256,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",13.201893,2.2003155,6,59.5
TurboFNO_1D_A,32,128,128,64,256,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",7.110027,1.1850045,6,32.1
TurboFNO_1D_A,32,128,128,64,256,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",1.86693,0.311155,6,8.4
TurboFNO_1D_A,32,128,128,64,512,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",25.87387,4.3123117,6,61.7
TurboFNO_1D_A,32,128,128,64,512,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",14.169727,2.3616212,6,33.8
TurboFNO_1D_A,32,128,128,64,512,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",1.861139,0.3101898,6,4.4
TurboFNO_1D_A,32,128,128,128,16,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",3.826308,0.637718,6,52.3
TurboFNO_1D_A,32,128,128,128,16,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",2.983915,0.4973192,6,40.8
TurboFNO_1D_A,32,128,128,128,16,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",0.506844,0.084474,6,6.9
TurboFNO_1D_A,32,128,128,128,32,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",4.934493,0.8224155,6,50.9
TurboFNO_1D_A,32,128,128,128,32,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",3.819142,0.6365236999999999,6,39.4
TurboFNO_1D_A,32,128,128,128,32,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",0.944249,0.15737479999999998,6,9.7
TurboFNO_1D_A,32,128,128,128,64,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",8.835364,1.4725607,6,61.1
TurboFNO_1D_A,32,128,128,128,64,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",3.805286,0.6342143,6,26.3
TurboFNO_1D_A,32,128,128,128,64,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",1.818035,0.3030058,6,12.6
TurboFNO_1D_A,32,128,128,128,128,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",13.352069,2.2253448,6,64.4
TurboFNO_1D_A,32,128,128,128,128,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",3.80906,0.6348433,6,18.4
TurboFNO_1D_A,32,128,128,128,128,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",3.572519,0.5954198,6,17.2
TurboFNO_1D_A,32,128,128,128,256,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",28.279297,4.7132162,6,72.3
TurboFNO_1D_A,32,128,128,128,256,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",7.050672,1.175112,6,18.0
TurboFNO_1D_A,32,128,128,128,256,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",3.785253,0.6308755,6,9.7
TurboFNO_1D_A,32,128,128,128,512,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",50.827753,8.471292199999999,6,73.9
TurboFNO_1D_A,32,128,128,128,512,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",14.169441,2.3615735,6,20.6
TurboFNO_1D_A,32,128,128,128,512,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",3.781286,0.6302143,6,5.5
TurboFNO_1D_A,32,128,256,64,16,ifft_8_stride,"ifft_8_stride_DY(float2 *, float2 *, int, int)",3.215274,0.535879,6,57.2
TurboFNO_1D_A,32,128,256,64,16,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",1.543349,0.2572248,6,27.4
TurboFNO_1D_A,32,128,256,64,16,fft_8_stride,"fft_8_stride_DY(float2 *, float2 *, int, int)",0.863801,0.14396679999999998,6,15.4
TurboFNO_1D_A,32,128,256,64,32,ifft_8_stride,"ifft_8_stride_DY(float2 *, float2 *, int, int)",3.22577,0.5376283000000001,6,43.8
TurboFNO_1D_A,32,128,256,64,32,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",2.488336,0.4147227,6,33.8
TurboFNO_1D_A,32,128,256,64,32,fft_8_stride,"fft_8_stride_DY(float2 *, float2 *, int, int)",1.644885,0.2741475,6,22.4
TurboFNO_1D_A,32,128,256,64,64,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",4.504033,0.7506721999999999,6,41.2
TurboFNO_1D_A,32,128,256,64,64,fft_8_stride,"fft_8_stride_DY(float2 *, float2 *, int, int)",3.225831,0.5376385,6,29.5
TurboFNO_1D_A,32,128,256,64,64,ifft_8_stride,"ifft_8_stride_DY(float2 *, float2 *, int, int)",3.207433,0.5345721999999999,6,29.3
TurboFNO_1D_A,32,128,256,64,128,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",6.791343,1.1318905,6,42.8
TurboFNO_1D_A,32,128,256,64,128,fft_8_stride,"fft_8_stride_DY(float2 *, float2 *, int, int)",5.859992,0.9766653000000001,6,36.9
TurboFNO_1D_A,32,128,256,64,128,ifft_8_stride,"ifft_8_stride_DY(float2 *, float2 *, int, int)",3.217385,0.5362308,6,20.3
TurboFNO_1D_A,32,128,256,64,256,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",13.19751,2.199585,6,47.3
TurboFNO_1D_A,32,128,256,64,256,fft_8_stride,"fft_8_stride_DY(float2 *, float2 *, int, int)",11.512465,1.9187442,6,41.2
TurboFNO_1D_A,32,128,256,64,256,ifft_8_stride,"ifft_8_stride_DY(float2 *, float2 *, int, int)",3.209098,0.5348497,6,11.5
TurboFNO_1D_A,32,128,256,64,512,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",25.871698,4.3119497,6,49.8
TurboFNO_1D_A,32,128,256,64,512,fft_8_stride,"fft_8_stride_DY(float2 *, float2 *, int, int)",22.895142,3.815857,6,44.1
TurboFNO_1D_A,32,128,256,64,512,ifft_8_stride,"ifft_8_stride_DY(float2 *, float2 *, int, int)",3.202314,0.533719,6,6.2
TurboFNO_1D_A,32,128,256,128,16,ifft_8_stride,"ifft_8_stride_DY(float2 *, float2 *, int, int)",6.496597,1.0827662,6,62.9
TurboFNO_1D_A,32,128,256,128,16,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",2.972462,0.49541029999999997,6,28.8
TurboFNO_1D_A,32,128,256,128,16,fft_8_stride,"fft_8_stride_DY(float2 *, float2 *, int, int)",0.863642,0.1439403,6,8.4
TurboFNO_1D_A,32,128,256,128,32,ifft_8_stride,"ifft_8_stride_DY(float2 *, float2 *, int, int)",6.500915,1.0834858,6,49.7
TurboFNO_1D_A,32,128,256,128,32,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",4.935549,0.8225915,6,37.7
TurboFNO_1D_A,32,128,256,128,32,fft_8_stride,"fft_8_stride_DY(float2 *, float2 *, int, int)",1.651539,0.2752565,6,12.6
TurboFNO_1D_A,32,128,256,128,64,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",8.436935,1.4061558,6,46.7
TurboFNO_1D_A,32,128,256,128,64,ifft_8_stride,"ifft_8_stride_DY(float2 *, float2 *, int, int)",6.498867,1.0831445,6,36.0
TurboFNO_1D_A,32,128,256,128,64,fft_8_stride,"fft_8_stride_DY(float2 *, float2 *, int, int)",3.120522,0.520087,6,17.3
TurboFNO_1D_A,32,128,256,128,128,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",13.320423,2.2200705,6,51.9
TurboFNO_1D_A,32,128,256,128,128,ifft_8_stride,"ifft_8_stride_DY(float2 *, float2 *, int, int)",6.495605,1.0826008,6,25.3
TurboFNO_1D_A,32,128,256,128,128,fft_8_stride,"fft_8_stride_DY(float2 *, float2 *, int, int)",5.856441,0.9760735,6,22.8
TurboFNO_1D_A,32,128,256,128,256,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",25.794321,4.2990535,6,58.9
TurboFNO_1D_A,32,128,256,128,256,fft_8_stride,"fft_8_stride_DY(float2 *, float2 *, int, int)",11.50197,1.916995,6,26.3
TurboFNO_1D_A,32,128,256,128,256,ifft_8_stride,"ifft_8_stride_DY(float2 *, float2 *, int, int)",6.466389,1.0777315,6,14.8
TurboFNO_1D_A,32,128,256,128,512,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",50.831398,8.4718997,6,63.4
TurboFNO_1D_A,32,128,256,128,512,fft_8_stride,"fft_8_stride_DY(float2 *, float2 *, int, int)",22.895206,3.8158677,6,28.5
TurboFNO_1D_A,32,128,256,128,512,ifft_8_stride,"ifft_8_stride_DY(float2 *, float2 *, int, int)",6.467667,1.0779445,6,8.1
TurboFNO_1D_A,32,256,128,64,16,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",3.82154,0.6369233000000001,6,49.1
TurboFNO_1D_A,32,256,128,64,16,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",3.022157,0.5036927999999999,6,38.8
TurboFNO_1D_A,32,256,128,64,16,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",0.94425,0.157375,6,12.1
TurboFNO_1D_A,32,256,128,64,32,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",4.890494,0.8150823,6,46.5
TurboFNO_1D_A,32,256,128,64,32,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",3.812871,0.6354785,6,36.2
TurboFNO_1D_A,32,256,128,64,32,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",1.816213,0.30270220000000003,6,17.3
TurboFNO_1D_A,32,256,128,64,64,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",8.864576,1.4774293,6,54.8
TurboFNO_1D_A,32,256,128,64,64,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",3.80551,0.6342517,6,23.5
TurboFNO_1D_A,32,256,128,64,64,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",3.519112,0.5865187,6,21.7
TurboFNO_1D_A,32,256,128,64,128,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",14.642557,2.4404262,6,57.4
TurboFNO_1D_A,32,256,128,64,128,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",7.065838,1.1776396999999998,6,27.7
TurboFNO_1D_A,32,256,128,64,128,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",3.7929,0.63215,6,14.9
TurboFNO_1D_A,32,256,128,64,256,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",26.165036,4.360839299999999,6,59.3
TurboFNO_1D_A,32,256,128,64,256,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",14.17203,2.362005,6,32.1
TurboFNO_1D_A,32,256,128,64,256,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",3.792646,0.6321076999999999,6,8.6
